,year,Week,Day,Date,,,,OT,Rec,,Opp
15,2013,16,Sun,December 22,4:06PM ET,boxscore,L,,12-3,,Arizona Cardinals
16,2013,17,Sun,December 29,4:26PM ET,boxscore,W,,13-3,,St. Louis Rams
17,2013,,,Playoffs,,,,,,,
18,2013,Division,Sat,January 11,4:36PM ET,boxscore,W,,14-3,,New Orleans Saints
19,2013,Conf. Champ.,Sun,January 19,6:42PM ET,boxscore,W,,15-3,,San Francisco 49ers
20,2013,SuperBowl,Sun,February 2,6:32PM ET,boxscore,W,,16-3,N,Denver Broncos
0,2014,1,Thu,September 4,8:42PM ET,boxscore,W,,1-0,,Green Bay Packers
1,2014,2,Sun,September 14,4:05PM ET,boxscore,L,,1-1,@,San Diego Chargers
2,2014,3,Sun,September 21,4:25PM ET,boxscore,W,OT,2-1,,Denver Broncos
3,2014,4,,,,,,,,,Bye Week
4,2014,5,Mon,October 6,8:30PM ET,boxscore,W,,3-1,@,Washington Redskins
5,2014,6,Sun,October 12,4:26PM ET,boxscore,L,,3-2,,Dallas Cowboys
6,2014,7,Sun,October 19,1:00PM ET,boxscore,L,,3-3,@,St. Louis Rams
7,2014,8,Sun,October 26,1:04PM ET,boxscore,W,,4-3,@,Carolina Panthers
8,2014,9,Sun,November 2,4:26PM ET,boxscore,W,,5-3,,Oakland Raiders
9,2014,10,Sun,November 9,4:26PM ET,boxscore,W,,6-3,,New York Giants
10,2014,11,Sun,November 16,1:04PM ET,boxscore,L,,6-4,@,Kansas City Chiefs
11,2014,12,Sun,November 23,4:06PM ET,boxscore,W,,7-4,,Arizona Cardinals
12,2014,13,Thu,November 27,8:31PM ET,boxscore,W,,8-4,@,San Francisco 49ers
13,2014,14,Sun,December 7,4:25PM ET,boxscore,W,,9-4,@,Philadelphia Eagles
14,2014,15,Sun,December 14,4:26PM ET,boxscore,W,,10-4,,San Francisco 49ers
15,2014,16,Sun,December 21,8:30PM ET,boxscore,W,,11-4,@,Arizona Cardinals
16,2014,17,Sun,December 28,4:27PM ET,boxscore,W,,12-4,,St. Louis Rams
17,2014,,,Playoffs,,,,,,,
18,2014,Division,Sat,January 10,8:21PM ET,boxscore,W,,13-4,,Carolina Panthers
19,2014,Conf. Champ.,Sun,January 18,3:06PM ET,boxscore,W,OT,14-4,,Green Bay Packers
20,2014,SuperBowl,Sun,February 1,6:30PM ET,boxscore,L,,14-5,N,New England Patriots
0,2015,1,Sun,September 13,1:00PM ET,boxscore,L,OT,0-1,@,St. Louis Rams
1,2015,2,Sun,September 20,8:25PM ET,boxscore,L,,0-2,@,Green Bay Packers
2,2015,3,Sun,September 27,4:26PM ET,boxscore,W,,1-2,,Chicago Bears
3,2015,4,Mon,October 5,8:31PM ET,boxscore,W,,2-2,,Detroit Lions
4,2015,5,Sun,October 11,1:03PM ET,boxscore,L,OT,2-3,@,Cincinnati Bengals
5,2015,6,Sun,October 18,4:06PM ET,boxscore,L,,2-4,,Carolina Panthers
6,2015,7,Thu,October 22,8:26PM ET,boxscore,W,,3-4,@,San Francisco 49ers
7,2015,8,Sun,November 1,4:25PM ET,boxscore,W,,4-4,@,Dallas Cowboys
8,2015,9,,,,,,,,,Bye Week
9,2015,10,Sun,November 15,8:35PM ET,boxscore,L,,4-5,,Arizona Cardinals
10,2015,11,Sun,November 22,4:27PM ET,boxscore,W,,5-5,,San Francisco 49ers
11,2015,12,Sun,November 29,4:26PM ET,boxscore,W,,6-5,,Pittsburgh Steelers
12,2015,13,Sun,December 6,1:02PM ET,boxscore,W,,7-5,@,Minnesota Vikings
13,2015,14,Sun,December 13,1:02PM ET,boxscore,W,,8-5,@,Baltimore Ravens
