"Subject","Start Date","Start Time","End Date","End Time","All day event","Description","Show time as","Location"
"Chanukah: 8 Candles","1/1/2025",,,,"true","The Jewish festival of rededication; also known as the Festival of Lights","3","Jewish Holidays"
"Chanukah: 8th Day","1/2/2025",,,,"true","The Jewish festival of rededication; also known as the Festival of Lights","3","Jewish Holidays"
"Erev Purim","3/13/2025",,,,"true","Purim is one of the most joyous and fun holidays on the Jewish calendar","3","Jewish Holidays"
"Purim","3/14/2025",,,,"true","Purim is one of the most joyous and fun holidays on the Jewish calendar","3","Jewish Holidays"
"Erev Pesach","4/12/2025",,,,"true","Passover; the Feast of Unleavened Bread","3","Jewish Holidays"
"Pesach I","4/13/2025",,,,"true","Passover; the Feast of Unleavened Bread","4","Jewish Holidays"
"Pesach II","4/14/2025",,,,"true","Passover; the Feast of Unleavened Bread","4","Jewish Holidays"
"Pesach III (CH''M)","4/15/2025",,,,"true","Passover; the Feast of Unleavened Bread","3","Jewish Holidays"
"Pesach IV (CH''M)","4/16/2025",,,,"true","Passover; the Feast of Unleavened Bread","3","Jewish Holidays"
"Pesach V (CH''M)","4/17/2025",,,,"true","Passover; the Feast of Unleavened Bread","3","Jewish Holidays"
"Pesach VI (CH''M)","4/18/2025",,,,"true","Passover; the Feast of Unleavened Bread","3","Jewish Holidays"
"Pesach VII","4/19/2025",,,,"true","Passover; the Feast of Unleavened Bread","4","Jewish Holidays"
"Pesach VIII","4/20/2025",,,,"true","Passover; the Feast of Unleavened Bread","4","Jewish Holidays"
"Erev Shavuot","6/1/2025",,,,"true","Festival of Weeks; commemorates the giving of the Torah at Mount Sinai","3","Jewish Holidays"
"Shavuot I","6/2/2025",,,,"true","Festival of Weeks; commemorates the giving of the Torah at Mount Sinai","4","Jewish Holidays"
"Shavuot II","6/3/2025",,,,"true","Festival of Weeks; commemorates the giving of the Torah at Mount Sinai","4","Jewish Holidays"
"Erev Tish'a B'Av","8/2/2025",,,,"true","The Ninth of Av; fast commemorating the destruction of the two Temples","3","Jewish Holidays"
"Tish'a B'Av","8/3/2025",,,,"true","The Ninth of Av; fast commemorating the destruction of the two Temples","3","Jewish Holidays"
"Erev Rosh Hashana","9/22/2025",,,,"true","The Jewish New Year","3","Jewish Holidays"
"Rosh Hashana 5786","9/23/2025",,,,"true","The Jewish New Year","4","Jewish Holidays"
"Rosh Hashana II","9/24/2025",,,,"true","The Jewish New Year","4","Jewish Holidays"
"Erev Yom Kippur","10/1/2025",,,,"true","Day of Atonement","3","Jewish Holidays"
"Yom Kippur","10/2/2025",,,,"true","Day of Atonement","4","Jewish Holidays"
"Erev Sukkot","10/6/2025",,,,"true","Feast of Tabernacles","3","Jewish Holidays"
"Sukkot I","10/7/2025",,,,"true","Feast of Tabernacles","4","Jewish Holidays"
"Sukkot II","10/8/2025",,,,"true","Feast of Tabernacles","4","Jewish Holidays"
"Sukkot III (CH''M)","10/9/2025",,,,"true","Feast of Tabernacles","3","Jewish Holidays"
"Sukkot IV (CH''M)","10/10/2025",,,,"true","Feast of Tabernacles","3","Jewish Holidays"
"Sukkot V (CH''M)","10/11/2025",,,,"true","Feast of Tabernacles","3","Jewish Holidays"
"Sukkot VI (CH''M)","10/12/2025",,,,"true","Feast of Tabernacles","3","Jewish Holidays"
"Sukkot VII (Hoshana Raba)","10/13/2025",,,,"true","Feast of Tabernacles","3","Jewish Holidays"
"Shmini Atzeret","10/14/2025",,,,"true","Eighth Day of Assembly","4","Jewish Holidays"
"Simchat Torah","10/15/2025",,,,"true","Day of Celebrating the Torah","4","Jewish Holidays"
"Chanukah: 1 Candle","12/14/2025",,,,"true","The Jewish festival of rededication; also known as the Festival of Lights","3","Jewish Holidays"
"Chanukah: 2 Candles","12/15/2025",,,,"true","The Jewish festival of rededication; also known as the Festival of Lights","3","Jewish Holidays"
"Chanukah: 3 Candles","12/16/2025",,,,"true","The Jewish festival of rededication; also known as the Festival of Lights","3","Jewish Holidays"
"Chanukah: 4 Candles","12/17/2025",,,,"true","The Jewish festival of rededication; also known as the Festival of Lights","3","Jewish Holidays"
"Chanukah: 5 Candles","12/18/2025",,,,"true","The Jewish festival of rededication; also known as the Festival of Lights","3","Jewish Holidays"
"Chanukah: 6 Candles","12/19/2025",,,,"true","The Jewish festival of rededication; also known as the Festival of Lights","3","Jewish Holidays"
"Chanukah: 7 Candles","12/20/2025",,,,"true","The Jewish festival of rededication; also known as the Festival of Lights","3","Jewish Holidays"
