"Subject","Start Date","Start Time","End Date","End Time","All day event","Description","Show time as","Location"
"Erev Purim","2/27/2010",,,,"true","Purim is one of the most joyous and fun holidays on the Jewish calendar","3","Jewish Holidays"
"Purim","2/28/2010",,,,"true","Purim is one of the most joyous and fun holidays on the Jewish calendar","3","Jewish Holidays"
"Erev Pesach","3/29/2010",,,,"true","Passover; the Feast of Unleavened Bread","3","Jewish Holidays"
"Pesach I","3/30/2010",,,,"true","Passover; the Feast of Unleavened Bread","4","Jewish Holidays"
"Pesach II","3/31/2010",,,,"true","Passover; the Feast of Unleavened Bread","4","Jewish Holidays"
"Pesach III (CH''M)","4/1/2010",,,,"true","Passover; the Feast of Unleavened Bread","3","Jewish Holidays"
"Pesach IV (CH''M)","4/2/2010",,,,"true","Passover; the Feast of Unleavened Bread","3","Jewish Holidays"
"Pesach V (CH''M)","4/3/2010",,,,"true","Passover; the Feast of Unleavened Bread","3","Jewish Holidays"
"Pesach VI (CH''M)","4/4/2010",,,,"true","Passover; the Feast of Unleavened Bread","3","Jewish Holidays"
"Pesach VII","4/5/2010",,,,"true","Passover; the Feast of Unleavened Bread","4","Jewish Holidays"
"Pesach VIII","4/6/2010",,,,"true","Passover; the Feast of Unleavened Bread","4","Jewish Holidays"
"Erev Shavuot","5/18/2010",,,,"true","Festival of Weeks; commemorates the giving of the Torah at Mount Sinai","3","Jewish Holidays"
"Shavuot I","5/19/2010",,,,"true","Festival of Weeks; commemorates the giving of the Torah at Mount Sinai","4","Jewish Holidays"
"Shavuot II","5/20/2010",,,,"true","Festival of Weeks; commemorates the giving of the Torah at Mount Sinai","4","Jewish Holidays"
"Erev Tish'a B'Av","7/19/2010",,,,"true","The Ninth of Av; fast commemorating the destruction of the two Temples","3","Jewish Holidays"
"Tish'a B'Av","7/20/2010",,,,"true","The Ninth of Av; fast commemorating the destruction of the two Temples","3","Jewish Holidays"
"Erev Rosh Hashana","9/8/2010",,,,"true","The Jewish New Year","3","Jewish Holidays"
"Rosh Hashana 5771","9/9/2010",,,,"true","The Jewish New Year","4","Jewish Holidays"
"Rosh Hashana II","9/10/2010",,,,"true","The Jewish New Year","4","Jewish Holidays"
"Erev Yom Kippur","9/17/2010",,,,"true","Day of Atonement","3","Jewish Holidays"
"Yom Kippur","9/18/2010",,,,"true","Day of Atonement","4","Jewish Holidays"
"Erev Sukkot","9/22/2010",,,,"true","Feast of Tabernacles","3","Jewish Holidays"
"Sukkot I","9/23/2010",,,,"true","Feast of Tabernacles","4","Jewish Holidays"
"Sukkot II","9/24/2010",,,,"true","Feast of Tabernacles","4","Jewish Holidays"
"Sukkot III (CH''M)","9/25/2010",,,,"true","Feast of Tabernacles","3","Jewish Holidays"
"Sukkot IV (CH''M)","9/26/2010",,,,"true","Feast of Tabernacles","3","Jewish Holidays"
"Sukkot V (CH''M)","9/27/2010",,,,"true","Feast of Tabernacles","3","Jewish Holidays"
"Sukkot VI (CH''M)","9/28/2010",,,,"true","Feast of Tabernacles","3","Jewish Holidays"
"Sukkot VII (Hoshana Raba)","9/29/2010",,,,"true","Feast of Tabernacles","3","Jewish Holidays"
"Shmini Atzeret","9/30/2010",,,,"true","Eighth Day of Assembly","4","Jewish Holidays"
"Simchat Torah","10/1/2010",,,,"true","Day of Celebrating the Torah","4","Jewish Holidays"
"Chanukah: 1 Candle","12/1/2010",,,,"true","The Jewish festival of rededication; also known as the Festival of Lights","3","Jewish Holidays"
"Chanukah: 2 Candles","12/2/2010",,,,"true","The Jewish festival of rededication; also known as the Festival of Lights","3","Jewish Holidays"
"Chanukah: 3 Candles","12/3/2010",,,,"true","The Jewish festival of rededication; also known as the Festival of Lights","3","Jewish Holidays"
